"CO2: ppm,","TVOC: ppb," ,Time

0,0,48478

400,0,48479

400,0,48480

400,0,48481

400,0,48482

400,0,48483

411,1,48484

405,0,48486

405,0,48487

400,0,48488

400,0,48489

400,0,48490

400,0,48491

400,0,48492

400,0,48493

402,0,48494

407,1,48495

400,0,48496

400,0,48497

400,0,48498

400,0,48499

400,0,48500

400,0,48501

426,3,48502

444,6,48503

448,7,48504

448,7,48505

452,7,48506

444,6,48507

434,5,48508

434,5,48509

422,3,48510

413,1,48511

409,1,48512

417,2,48513

407,1,48514

400,0,48515

400,0,48516

408,1,48517

405,0,48518

405,0,48519

410,1,48520

400,0,48521

400,0,48522

400,0,48523

402,0,48524

400,0,48525

400,0,48526

400,0,48527

407,1,48528

400,0,48529

403,0,48530

400,0,48531

400,0,48532

400,0,48533

400,0,48534

400,0,48535

400,0,48536

400,0,48537

400,0,48538

400,0,48539

421,3,48540

442,6,48541

438,5,48542

434,5,48543

434,5,48544

438,5,48545

423,3,48546

434,5,48547

421,3,48548

421,3,48549

413,1,48550

421,3,48551

423,3,48552

421,3,48553

421,3,48554

421,3,48555

413,1,48556

405,0,48557

405,0,48558

408,1,48559

400,0,48560

400,0,48561

400,0,48562

402,0,48563

400,0,48564

400,0,48565

400,0,48566

400,0,48567

400,0,48568

400,0,48569

400,0,48570

400,0,48571

400,0,48572

405,0,48573

400,0,48574

400,0,48575

400,0,48576

400,0,48577

400,0,48578

400,0,48579

408,1,48580

400,0,48581

400,0,48582

400,0,48583

400,0,48584

400,0,48585

400,0,48586

400,0,48587

406,0,48588

400,0,48589

400,0,48590

408,1,48591

408,1,48592

411,1,48593

414,2,48594

414,2,48595

425,3,48596

425,3,48597

425,3,48598

427,4,48599

438,5,48600

438,5,48602

438,5,48603

438,5,48604

433,5,48605

443,6,48606

452,7,48607

466,10,48608

462,9,48609

466,10,48610

459,8,48611

462,9,48612

452,7,48613

446,7,48614

446,7,48615

438,5,48616

438,5,48617

443,6,48618

443,6,48619

446,7,48620

448,7,48621

466,10,48622

466,10,48623

480,12,48624

480,12,48625

497,14,48626

497,14,48627

497,14,48628

497,14,48629

485,12,48630

485,12,48631

466,10,48632

459,8,48633

448,7,48634

438,5,48635

448,7,48636

438,5,48637

438,5,48638

433,5,48639

425,3,48640

422,3,48641

427,4,48642

425,3,48643

425,3,48644

425,3,48645

425,3,48646

425,3,48647

414,2,48648

417,2,48649

422,3,48650

