"CO2: ppm,","TVOC: ppb,",Time

0,0,48471

400,0,48472

400,0,48473

406,0,48479

406,0,48480

400,0,48481

400,0,48482

400,0,48483

400,0,48484

400,0,48485

409,1,48487

405,0,48488

405,0,48489

400,0,48490

405,0,48491

400,0,48492

400,0,48493

400,0,48494

400,0,48495

402,0,48496

400,0,48497

402,0,48498

418,2,48499

432,4,48500

435,5,48501

427,4,48502

415,2,48503

402,0,48504

435,5,48505

752,53,48506

574,26,48507

476,11,48508

446,7,48509

465,9,48510

432,4,48511

435,5,48512

435,5,48513

432,4,48514

435,5,48515

435,5,48516

435,5,48517

432,4,48518

427,4,48519

432,4,48520

427,4,48521

425,3,48522

418,2,48523

411,1,48524

674,41,48525

1053,99,48526

808,62,48527

545,22,48528

597,30,48529

853,69,48530

768,56,48531

702,46,48532

735,51,48533

895,75,48534

717,48,48535

780,57,48536

1053,99,48537

844,67,48538

853,69,48539

690,44,48540

633,35,48541

589,28,48542

533,20,48543

482,12,48544

478,11,48545

463,9,48546

456,8,48547

456,8,48548

456,8,48549

451,7,48550

446,7,48551

446,7,48552

444,6,48553

439,5,48554

444,6,48555

446,7,48556

446,7,48557

444,6,48558

446,7,48559

460,9,48560

463,9,48561

476,11,48562

478,11,48563

482,12,48564

487,13,48565

460,9,48566

446,7,48567

432,4,48568

407,1,48569

407,1,48570

411,1,48571

407,1,48572

400,0,48573

402,0,48574

415,2,48575

444,6,48576

446,7,48577

439,5,48578

415,2,48579

402,0,48580

402,0,48581

400,0,48582

400,0,48583

409,1,48584

400,0,48585

400,0,48586

400,0,48587

400,0,48588

400,0,48589

400,0,48590

402,0,48591

400,0,48592

400,0,48593

400,0,48594

400,0,48595

403,0,48596

400,0,48597

400,0,48598

407,1,48599

414,2,48600

423,3,48602

427,4,48603

421,3,48604

400,0,48605

411,1,48606

432,4,48607

416,2,48608

411,1,48609

409,1,48610

409,1,48611

416,2,48612

400,0,48613

402,0,48614

400,0,48615

400,0,48616

400,0,48617

400,0,48618

402,0,48619

400,0,48620

400,0,48621

402,0,48622

400,0,48623

407,1,48624

432,4,48625

448,7,48626

473,11,48627

478,11,48628

482,12,48629

482,12,48630

486,13,48631

486,13,48632

493,14,48633

478,11,48634

463,9,48635

473,11,48636

482,12,48637

486,13,48638

482,12,48639

486,13,48640

478,11,48641

448,7,48642

442,6,48643

448,7,48644

478,11,48645

486,13,48646

465,9,48647

488,13,48648

536,20,48649

555,23,48650

570,25,48651

570,25,48652

561,24,48653

539,21,48654

520,18,48655

503,15,48656

478,11,48657

460,9,48658

451,7,48659

482,12,48660

473,11,48661

456,8,48662

448,7,48663

473,11,48664

488,13,48665

508,16,48666

527,19,48667

493,14,48668

515,17,48669

508,16,48670

486,13,48671

486,13,48672

500,15,48673

503,15,48674

503,15,48675

493,14,48676

473,11,48677

460,9,48678

451,7,48679

456,8,48680

486,13,48681

486,13,48682

463,9,48683

451,7,48684

418,2,48685

421,3,48686

415,2,48687

415,2,48688

445,6,48689

486,13,48690

527,19,48691

536,20,48692

545,22,48693

545,22,48694

536,20,48695

539,21,48696

548,22,48697

561,24,48698

567,25,48699

577,26,48700

594,29,48701

624,34,48702

617,33,48703

631,35,48704

631,35,48705

589,28,48706

597,30,48707

612,32,48708

674,41,48709

668,40,48710

624,34,48711

617,33,48712

594,29,48713

612,32,48714

637,36,48715

646,37,48716

646,37,48717

694,44,48718

694,44,48719

678,42,48720

646,37,48721

637,36,48722

631,35,48723

607,31,48724

594,29,48725

584,28,48726

577,26,48727

631,35,48728

694,44,48729

686,43,48730

708,46,48731

714,47,48732

708,46,48733

686,43,48734

674,41,48735

659,39,48736

659,39,48737

659,39,48738

631,35,48739

612,32,48740

607,31,48741

624,34,48742

607,31,48743

637,36,48744

637,36,48745

631,35,48746

617,33,48747

612,32,48748

686,43,48749

700,45,48750

678,42,48751

686,43,48752

752,53,48753

746,52,48754

752,53,48755

752,53,48756

752,53,48757

763,55,48758

752,53,48759

746,52,48760

770,56,48761

694,44,48762

708,46,48763

646,37,48764

652,38,48765

674,41,48766

686,43,48767

637,36,48768

659,39,48769

659,39,48770

637,36,48771

646,37,48772

659,39,48773

668,40,48774

700,45,48775

763,55,48776

770,56,48777

785,58,48778

804,61,48779

770,56,48780

795,60,48781

808,62,48782

808,62,48783

795,60,48784

795,60,48785

795,60,48786

763,55,48787

678,42,48788

686,43,48789

678,42,48790

728,49,48791

708,46,48792

708,46,48793

694,44,48794

700,45,48795

708,46,48796

694,44,48797

728,49,48798

763,55,48799

785,58,48800

808,62,48801

804,61,48802

804,61,48803

785,58,48804

770,56,48805

778,57,48806

785,58,48807

778,57,48808

785,58,48809

778,57,48810

808,62,48811

863,70,48812

825,64,48813

882,73,48814

891,74,48815

891,74,48816

897,75,48817

844,67,48818

844,67,48819

863,70,48820

844,67,48821

844,67,48822

804,61,48823

795,60,48824

795,60,48825

795,60,48826

795,60,48827

815,63,48828

844,67,48829

825,64,48830

815,63,48831

834,66,48832

844,67,48833

825,64,48834

825,64,48835

808,62,48836

770,56,48837

708,46,48838

678,42,48839

700,45,48840

728,49,48841

742,52,48842

778,57,48843

804,61,48844

844,67,48845

882,73,48846

882,73,48847

844,67,48848

785,58,48849

746,52,48850

778,57,48851

795,60,48852

778,57,48853

746,52,48854

742,52,48855

733,50,48856

728,49,48857

770,56,48858

834,66,48859

868,71,48860

967,86,48861

995,90,48862

995,90,48863

1035,96,48864

1035,96,48865

1017,93,48866

1012,93,48867

959,85,48868

977,87,48869

995,90,48870

990,89,48871

959,85,48872

891,74,48873

882,73,48874

863,70,48875

851,68,48876

863,70,48877

897,75,48878

927,80,48879

949,83,48880

959,85,48881

967,86,48882

949,83,48883

918,78,48884

897,75,48885

863,70,48886

825,64,48887

815,63,48888

785,58,48889

752,53,48890

763,55,48891

742,52,48892

708,46,48893

728,49,48894

708,46,48895

708,46,48896

694,44,48897

708,46,48898

728,49,48899

746,52,48900

778,57,48901

763,55,48902

770,56,48903

763,55,48904

