Time Stamp,Data Source ID,"CO2: ppm,","TVOC: ppb,",Data Source ID,"CO2: ppm,","TVOC: ppb,"
0,0,COM5,0,0,COM7,80771
400,0,COM5,400,0,COM7,80772
400,0,COM5,405,0,COM7,80773
400,0,COM5,410,1,COM7,80774
400,0,COM5,408,1,COM7,80775
402,0,COM5,408,1,COM7,80776
400,0,COM5,415,2,COM7,80777
400,0,COM5,410,1,COM7,80778
405,0,COM5,410,1,COM7,80779
400,0,COM5,415,2,COM7,80780
400,0,COM5,418,2,COM7,80781
413,1,COM5,423,3,COM7,80782
405,0,COM5,426,3,COM7,80783
400,0,COM5,428,4,COM7,80784
405,0,COM5,418,2,COM7,80785
405,0,COM5,426,3,COM7,80786
400,0,COM5,426,3,COM7,80787
400,0,COM5,428,4,COM7,80788
400,0,COM5,426,3,COM7,80789
400,0,COM5,428,4,COM7,80790
406,0,COM5,428,4,COM7,80791
400,0,COM5,426,3,COM7,80792
400,0,COM5,426,3,COM7,80793
403,0,COM5,426,3,COM7,80794
403,0,COM5,426,3,COM7,80795
400,0,COM5,426,3,COM7,80796
400,0,COM5,423,3,COM7,80797
400,0,COM5,426,3,COM7,80798
400,0,COM5,428,4,COM7,80799
400,0,COM5,423,3,COM7,80800
400,0,COM5,426,3,COM7,80801
400,0,COM5,423,3,COM7,80802
409,1,COM5,423,3,COM7,80803
406,0,COM5,418,2,COM7,80804
