CO2: ppm,TVOC: ppb,Time
0,0,65819
400,0,65824
400,0,65829
400,0,65834
400,0,65839
400,0,65844
400,0,65849
400,0,65854
400,0,65859
400,0,65864
400,0,65869
400,0,65874
400,0,65879
400,0,65884
400,0,65889
400,0,65894
400,0,65899
400,0,65904
402,0,65909
406,0,65914
400,0,65919
406,0,65924
406,0,65929
402,0,65934
402,0,65939
400,0,65944
400,0,65949
400,0,65954
409,1,65959
400,0,65964
400,0,65969
400,0,65974
415,2,65979
409,1,65984
409,1,65989
409,1,65994
415,2,65999
409,1,66004
401,0,66009
400,0,66014
400,0,66019
400,0,66024
402,0,66029
407,1,66034
411,1,66039
416,2,66044
407,1,66049
402,0,66054
400,0,66059
400,0,66064
400,0,66069
408,1,66074
400,0,66079
403,0,66084
400,0,66089
405,0,66094
405,0,66099
400,0,66104
400,0,66109
400,0,66114
400,0,66119
400,0,66124
405,0,66129
408,1,66134
408,1,66139
416,2,66144
413,1,66149
416,2,66154
413,1,66159
408,1,66164
413,1,66169
421,3,66174
432,4,66179
434,5,66184
439,5,66189
439,5,66194
434,5,66199
448,7,66204
448,7,66209
448,7,66214
454,8,66219
454,8,66224
454,8,66229
457,8,66234
457,8,66239
457,8,66244
462,9,66249
462,9,66254
475,11,66259
470,10,66264
475,11,66269
480,12,66274
480,12,66279
483,12,66284
483,12,66289
483,12,66294
483,12,66299
475,11,66304
470,10,66309
470,10,66314
462,9,66319
470,10,66324
480,12,66329
483,12,66334
491,13,66339
483,12,66344
491,13,66349
491,13,66354
483,12,66359
483,12,66364
491,13,66369
495,14,66374
495,14,66379
491,13,66384
483,12,66389
480,12,66394
480,12,66399
475,11,66404
480,12,66409
475,11,66414
470,10,66419
470,10,66424
470,10,66429
475,11,66434
475,11,66439
480,12,66444
475,11,66449
483,12,66454
480,12,66459
480,12,66464
475,11,66469
475,11,66474
470,10,66479
470,10,66484
470,10,66489
475,11,66494
480,12,66499
480,12,66513
480,12,66520
480,12,66538
483,12,66553
483,12,66558
483,12,66573
491,13,66579
491,13,66596
483,12,66609
483,12,66614
483,12,66626
483,12,66631
495,14,66636
480,12,66642
480,12,66665
475,11,66670
480,12,66675
480,12,66692
470,10,66703
470,10,66729
470,10,66737
470,10,66758
462,9,66781
462,9,66786
457,8,66791
462,9,66800
462,9,66805
470,10,66810
462,9,66818
470,10,66844
470,10,66853
470,10,66874
475,11,66897
470,10,66902
470,10,66907
470,10,66915
475,11,66940
470,10,66949
475,11,66967
475,11,66986
475,11,67004
480,12,67020
480,12,67031
480,12,67036
475,11,67041
475,11,67050
462,9,67075
470,10,67082
475,11,67095
480,12,67101
480,12,67112
483,12,67117
491,13,67122
491,13,67129
495,14,67149
495,14,67170
491,13,67191
491,13,67212
483,12,67233
491,13,67256
491,13,67261
483,12,67266
483,12,67275
491,13,67280
483,12,67286
480,12,67300
483,12,67306
483,12,67322
483,12,67329
483,12,67347
491,13,67362
483,12,67370
483,12,67388
495,14,67404
495,14,67416
495,14,67421
500,15,67426
495,14,67434
500,15,67459
500,15,67465
500,15,67479
491,13,67486
480,12,67502
475,11,67512
480,12,67538
483,12,67547
480,12,67568
483,12,67591
483,12,67596
483,12,67601
483,12,67611
483,12,67616
491,13,67621
483,12,67629
491,13,67655
495,14,67664
500,15,67685
491,13,67708
491,13,67713
495,14,67718
505,15,67726
505,15,67731
505,15,67736
506,16,67742
503,15,67765
503,15,67770
503,15,67775
503,15,67784
506,16,67789
503,15,67794
506,16,67802
506,16,67828
526,19,67837
526,19,67858
526,19,67881
519,18,67886
526,19,67891
519,18,67899
519,18,67904
519,18,67909
506,16,67918
503,15,67943
506,16,67952
506,16,67973
519,18,67996
506,16,68001
506,16,68006
503,15,68014
503,15,68019
506,16,68024
503,15,68031
506,16,68054
503,15,68059
519,18,68064
506,16,68072
519,18,68077
519,18,68082
526,19,68088
519,18,68112
506,16,68117
519,18,68122
503,15,68130
493,14,68135
493,14,68140
498,14,68149
506,16,68174
506,16,68183
519,18,68204
519,18,68227
506,16,68232
498,14,68237
498,14,68245
498,14,68250
498,14,68255
503,15,68264
498,14,68290
493,14,68298
498,14,68319
498,14,68342
498,14,68347
498,14,68352
498,14,68361
498,14,68366
501,15,68371
503,15,68377
517,17,68400
503,15,68405
501,15,68410
501,15,68418
503,15,68423
501,15,68428
503,15,68437
501,15,68463
503,15,68471
503,15,68489
503,15,68508
503,15,68513
523,18,68518
517,17,68523
523,18,68528
523,18,68533
523,18,68538
517,17,68543
503,15,68548
501,15,68553
517,17,68558
517,17,68563
517,17,68568
517,17,68573
503,15,68578
501,15,68583
491,13,68588
501,15,68593
501,15,68598
501,15,68603
496,14,68608
496,14,68613
503,15,68618
517,17,68623
526,19,68628
523,18,68633
526,19,68638
531,19,68643
526,19,68648
526,19,68653
523,18,68658
517,17,68663
503,15,68668
496,14,68673
496,14,68678
496,14,68683
496,14,68688
496,14,68693
496,14,68698
496,14,68703
503,15,68708
517,17,68713
523,18,68718
526,19,68723
526,19,68728
526,19,68733
523,18,68741
523,18,68766
517,17,68775
517,17,68796
517,17,68819
523,18,68824
503,15,68829
517,17,68837
503,15,68862
517,17,68867
523,18,68877
523,18,68902
523,18,68907
526,19,68913
503,15,68928
503,15,68938
517,17,68961
523,18,68966
517,17,68971
523,18,68980
503,15,68985
496,14,68990
501,15,68998
517,17,69024
523,18,69030
523,18,69044
523,18,69049
523,18,69063
523,18,69068
531,19,69073
540,21,69088
540,21,69100
540,21,69125
540,21,69131
543,21,69145
549,22,69150
543,21,69162
543,21,69167
531,19,69172
531,19,69180
526,19,69204
523,18,69209
517,17,69218
517,17,69239
526,19,69262
526,19,69267
531,19,69272
531,19,69289
526,19,69300
523,18,69305
517,17,69310
517,17,69319
503,15,69324
517,17,69329
517,17,69337
523,18,69363
523,18,69371
526,19,69390
526,19,69407
526,19,69419
531,19,69424
531,19,69429
526,19,69438
526,19,69462
531,19,69467
531,19,69475
540,21,69495
543,21,69514
543,21,69530
549,22,72563
555,23,72574
549,22,72579
543,21,72590
566,25,72595
555,23,72600
569,25,72606
569,25,72630
569,25,72635
566,25,72640
555,23,72648
549,22,72653
543,21,72658
549,22,72664
540,21,72687
531,19,72692
540,21,72697
543,21,72706
543,21,72711
555,23,72716
549,22,72724
549,22,72750
555,23,72759
549,22,72780
543,21,72803
549,22,72808
549,22,72813
549,22,72821
566,25,72826
549,22,72831
549,22,72840
549,22,72865
543,21,72874
543,21,72895
543,21,72918
543,21,72923
543,21,72928
540,21,72936
540,21,72941
543,21,72946
549,22,72953
549,22,72976
555,23,72981
555,23,72986
555,23,72994
549,22,72999
555,23,73004
555,23,73013
549,22,73039
555,23,73047
555,23,73068
555,23,73091
566,25,73096
565,25,73101
567,25,73110
567,25,73115
574,26,73120
567,25,73128
553,23,73154
548,22,73163
542,21,73184
539,21,75968
